age_i,naics_i,age_j,naics_j,contactlvl,num_people,num_contact_per_person_day,contact_time_min_per_person_day
1,0,1,0,hh,1429236,1.336137652397156,801.6826171875
1,0,1,0,neighbor,1429236,1.615358794806525,48.92625231295824
1,0,1,0,school,1429236,122.1780776977539,52042.34765625
1,0,1,0,work,1429236,6.99674501448e-06,.0013068753760308
1,0,1,11,hh,1429236,.0000825615934446,.0495369546115398
1,0,1,11,neighbor,1429236,.00006437005527,.0026901893579634
1,0,1,11,school,1429236,.0162471421062946,6.835305690765381
1,0,1,23,hh,1429236,.0001567270956002,.0940362587571144
1,0,1,23,neighbor,1429236,.000299460692986,.0089735702031248
1,0,1,23,school,1429236,.0150653915479779,6.339765071868896
1,0,1,31,hh,1429236,.0001770176459104,.1062105894088745
1,0,1,31,neighbor,1429236,.0000860599636781,.0036914538504789
1,0,1,31,school,1429236,.0459273345768452,19.32608222961426
1,0,1,42,hh,1429236,.0001042514995788,.0625509023666382
1,0,1,42,neighbor,1429236,.0000958554096542,.0029663983605133
1,0,1,42,school,1429236,.0160645265132189,6.775944232940674
1,0,1,44,hh,1429236,.0049061174504459,2.943670511245728
1,0,1,44,neighbor,1429236,.0060829700169052,.1957417865633033
1,0,1,44,school,1429236,.5820816159248352,245.6047210693359
1,0,1,48,hh,1429236,.0001112482495955,.0667489469051361
1,0,1,48,neighbor,1429236,.0000188912119938,.0004129945482418
1,0,1,48,school,1429236,.0154768005013466,6.517066478729248
1,0,1,51,hh,1429236,.0005737331230193,.3442398607730865
1,0,1,51,neighbor,1429236,.0001658228607084,.0052204080857337
1,0,1,51,school,1429236,.0620940141379833,26.21133232116699
1,0,1,52,hh,1429236,.0001392352278344,.083541139960289
1,0,1,52,neighbor,1429236,.0000111947922505,.0002911943265644
1,0,1,52,school,1429236,.0149275558069348,6.281908512115479
1,0,1,53,hh,1429236,.0000650697329547,.0390418395400047
1,0,1,53,neighbor,1429236,.0000258879567809,.0021719412470702
1,0,1,53,school,1429236,.0109261171892285,4.613037586212158
1,0,1,54,hh,1429236,.0001777173310984,.1066303998231888
1,0,1,54,neighbor,1429236,.0000839609390368,.0020356658571217
1,0,1,54,school,1429236,.0298712030053139,12.53404521942139
1,0,1,56,hh,1429236,.0003673291066661,.2203974574804306
1,0,1,56,neighbor,1429236,.0003729265267793,.0116670987445104
1,0,1,56,school,1429236,.0416824109852314,17.544189453125
1,0,1,61,hh,1429236,.0009235703619197,.5541422367095947
1,0,1,61,neighbor,1429236,.0005863272319857,.0186638496888918
1,0,1,61,school,1429236,.1022343412041664,42.64849090576172
1,0,1,62,hh,1429236,.0008025266579352,.4815160036087036
1,0,1,62,neighbor,1429236,.0013601672574168,.0400616090992116
1,0,1,62,school,1429236,.1206910535693169,50.91390228271484
1,0,1,71,hh,1429236,.0021514990366995,1.290899395942688
1,0,1,71,neighbor,1429236,.0101403824610315,.3083889854897279
1,0,1,71,school,1429236,.3286014199256897,138.7093353271484
1,0,1,72,hh,1429236,.0095813423395157,5.748805522918701
1,0,1,72,neighbor,1429236,.0153207724160893,.4747790463734418
1,0,1,72,school,1429236,.9450461864471436,398.6286926269531
1,0,1,92,hh,1429236,.0001343375042779,.0806025043129921
1,0,1,92,neighbor,1429236,.0000916573592349,.0027671892166836
1,0,1,92,school,1429236,.0166046749800444,6.93405818939209
1,0,2,0,hh,1429236,.7231891751289368,433.9135131835938
1,0,2,0,neighbor,1429236,1.775307975709438,59.89770984649658
1,0,2,0,school,1429236,1.064945220947266,320.8784790039063
1,0,2,0,work,1429236,.0045996601693332,1.059149980545044
1,0,2,11,hh,1429236,.0021109180524945,1.266550779342651
1,0,2,11,neighbor,1429236,.0069337744826043,.2168218602892011
1,0,2,11,school,1429236,.0096988882869482,2.515791177749634
1,0,2,21,hh,1429236,.0014812109293416,.888726532459259
1,0,2,21,neighbor,1429236,.0031730240170873,.0981645729043521
1,0,2,22,hh,1429236,.0064349062740803,3.860943794250488
1,0,2,22,neighbor,1429236,.0136765380448196,.4292643284425139
1,0,2,22,school,1429236,.0046346439048648,1.10453999042511
1,0,2,23,hh,1429236,.0807900130748749,48.47400665283203
1,0,2,23,neighbor,1429236,.1715713884332217,5.310965240001678
1,0,2,23,school,1429236,.0396995320916176,10.90939426422119
1,0,2,31,hh,1429236,.1658123582601547,99.48741149902344
1,0,2,31,neighbor,1429236,.3530312731163576,10.93557313084602
1,0,2,31,school,1429236,.0700255259871483,18.89614868164063
1,0,2,42,hh,1429236,.0438052229583263,26.28313446044922
1,0,2,42,neighbor,1429236,.1276136343367398,3.995086938142776
1,0,2,42,school,1429236,.0173785146325827,4.082116603851318
1,0,2,44,hh,1429236,.1344347596168518,80.66085815429688
1,0,2,44,neighbor,1429236,.3861769546056166,13.7318859025836
1,0,2,44,school,1429236,.4755911529064178,125.58203125
1,0,2,48,hh,1429236,.0719384327530861,43.16305923461914
1,0,2,48,neighbor,1429236,.2046191180706955,6.455514643341303
1,0,2,48,school,1429236,.042449951171875,11.20127582550049
1,0,2,51,hh,1429236,.0243024937808514,14.5814962387085
1,0,2,51,neighbor,1429236,.0694356987660285,2.219681156799197
1,0,2,51,school,1429236,.0307835787534714,8.371820449829102
1,0,2,52,hh,1429236,.0702774077653885,42.16644287109375
1,0,2,52,neighbor,1429236,.2355405244743451,7.528114497661591
1,0,2,52,school,1429236,.010012342594564,2.699972152709961
1,0,2,53,hh,1429236,.0201296359300613,12.07778167724609
1,0,2,53,neighbor,1429236,.0690256894449703,2.281529143452644
1,0,2,53,school,1429236,.0142922513186932,3.863386869430542
1,0,2,54,hh,1429236,.0879847705364227,52.79086303710938
1,0,2,54,neighbor,1429236,.3537750362884253,11.04589097946882
1,0,2,54,school,1429236,.0151864355430007,3.994248151779175
1,0,2,55,hh,1429236,.0025706042069942,1.542362570762634
1,0,2,55,neighbor,1429236,.0120448963680246,.3696083209943026
1,0,2,55,school,1429236,.0018450416391715,.3062905967235565
1,0,2,56,hh,1429236,.0707042068243027,42.42252349853516
1,0,2,56,neighbor,1429236,.139742488914635,4.417412476614118
1,0,2,56,school,1429236,.0529380738735199,13.59275341033936
1,0,2,61,hh,1429236,.0989304780960083,59.3582878112793
1,0,2,61,neighbor,1429236,.2370833138702437,7.410911608487368
1,0,2,61,school,1429236,3.391967535018921,940.2357177734375
1,0,2,62,hh,1429236,.1713740825653076,102.8244476318359
1,0,2,62,neighbor,1429236,.4468058347702026,14.78230634331703
1,0,2,62,school,1429236,.0717950016260147,19.35511779785156
1,0,2,71,hh,1429236,.0181383620947599,10.88301753997803
1,0,2,71,neighbor,1429236,.0806731695774943,2.757809440605342
1,0,2,71,school,1429236,.1247547641396523,32.55717849731445
